eggmass,date,session,operator,device,time.sec,count,curly,notes
12,2/8/23,5,Jack,Ruler,31,3,,
12,2/8/23,5,Jack,Ruler,41,6,,
12,2/8/23,5,Jack,Ruler,18,2,,
12,2/8/23,5,Jack,Ruler,28,5,,
97,,2,Sarah,Ruler,39,3,,
97,,2,Sarah,Ruler,28,2,,
97,,2,Sarah,Ruler,27,2,,
97,,2,Sarah,Ruler,32,2,Yes,
97,,2,Sarah,Ruler,32,3,,
97,,2,Sarah,Ruler,52,6,,
97,,2,Sarah,Ruler,29,2,,
97,,2,Sarah,Ruler,29,2,,
97,,2,Sarah,Ruler,27,2,,
97,,2,Sarah,Ruler,30,3,,
97,,2,Sarah,Ruler,25,2,,
97,,2,Sarah,Ruler,26,2,,
97,,2,Sarah,Ruler,18,2,,
97,,2,Sarah,Ruler,25,2,,
97,,2,Sarah,Ruler,16,1,,
97,,2,Sarah,Ruler,34,3,Yes,
97,,2,Sarah,Ruler,17,1,,
97,,2,Sarah,Ruler,23,2,,
97,,2,Sarah,Ruler,20,2,,
97,,2,Sarah,Ruler,26,3,Yes,
97,,2,Sarah,Ruler,24,2,,
97,,2,Sarah,Ruler,17,1,,
97,,2,Sarah,Ruler,22,2,,
97,,2,Sarah,Ruler,39,2,Yes,
97,,2,Sarah,Ruler,16,2,,
97,,2,Sarah,Ruler,16,2,,
97,,2,Sarah,Ruler,30,2,Yes,
97,,2,Sarah,Ruler,18,1,,
97,,2,Sarah,Ruler,19,1,,
97,,2,Sarah,Ruler,17,1,,
97,,2,Sarah,Ruler,24,1,Yes,
97,,2,Sarah,Ruler,23,1,Yes,
97,,2,Sarah,Ruler,17,1,,
97,,2,Sarah,Ruler,17,1,,
97,,2,Sarah,Ruler,10,1,,
97,,2,Sarah,Ruler,9,1,,
unknown,2/8/23,5,Sarah,Ruler,26,2,,
unknown,2/8/23,5,Sarah,Ruler,20,2,,
unknown,2/8/23,5,Sarah,Ruler,27,3,,
unknown,2/8/23,5,Sarah,Ruler,19,2,,
unknown,2/8/23,5,Sarah,Ruler,16,1,,
unknown,2/8/23,5,Sarah,Ruler,14,1,,
unknown,2/8/23,5,Sarah,Ruler,45,4,yes,
unknown,2/8/23,5,Sarah,Ruler,54,4,,
unknown,2/8/23,5,Sarah,Ruler,24,3,,
unknown,2/8/23,5,Sarah,Ruler,9,1,,
unknown,2/8/23,5,Sarah,Ruler,8,1,,
unknown,2/8/23,5,Sarah,Ruler,26,3,,
unknown,2/8/23,5,Sarah,Ruler,22,3,,
unknown,2/8/23,5,Sarah,Ruler,8,1,,
unknown,2/8/23,5,Sarah,Ruler,7,1,,
unknown,2/8/23,5,Sarah,Ruler,30,2,yes,
unknown,2/8/23,5,Sarah,Ruler,22,2,,
unknown,2/8/23,5,Sarah,Ruler,20,2,,
unknown,2/8/23,5,Sarah,Ruler,19,2,,
unknown,2/8/23,5,Sarah,Ruler,39,4,,
unknown,2/8/23,5,Sarah,Ruler,23,3,,
unknown,2/8/23,5,Sarah,Ruler,18,2,,
unknown,2/8/23,5,Sarah,Ruler,8,1,,
unknown,2/8/23,5,Sarah,Ruler,19,2,,
unknown,2/8/23,5,Sarah,Ruler,17,2,,
unknown,2/8/23,5,Sarah,Ruler,24,2,,
unknown,2/8/23,5,Sarah,Ruler,9,1,,
unknown,2/8/23,5,Sarah,Ruler,8,1,,
unknown,2/8/23,5,Sarah,Ruler,16,2,,
unknown,2/8/23,5,Sarah,Ruler,23,2,,
21,3/10/23,7,Ally,Ruler,45,8,,
21,3/10/23,7,Ally,Ruler,54,5,,
21,3/10/23,7,Ally,Ruler,27,2,,
21,3/10/23,7,Ally,Ruler,68,11,,
21,3/10/23,7,Ally,Ruler,26,2,,
21,3/10/23,7,Ally,Ruler,131,14,,
21,3/10/23,7,Ally,Ruler,42,7,,
21,3/10/23,7,Ally,Ruler,47,6,,
21,3/10/23,7,Ally,Ruler,90,9,,
21,3/10/23,7,Ally,Ruler,45,4,,
21,3/10/23,7,Ally,Ruler,63,5,,
21,3/10/23,7,Ally,Ruler,70,7,,
21,3/10/23,7,Ally,Aplysia Bar,32,5,,
21,3/10/23,7,Ally,Aplysia Bar,27,4,,
21,3/10/23,7,Ally,Aplysia Bar,40,4,,
21,3/10/23,7,Ally,Aplysia Bar,36,5,,
21,3/10/23,7,Ally,Aplysia Bar,52,6,,
21,3/10/23,7,Ally,Aplysia Bar,61,7,,
21,3/10/23,7,Ally,Aplysia Bar,22,2,,
21,3/10/23,7,Ally,Aplysia Bar,51,7,,
21,3/10/23,7,Ally,Aplysia Bar,42,2,,
21,3/10/23,7,Ally,Aplysia Bar,34,3,,
21,3/10/23,7,Ally,Aplysia Bar,33,5,,
21,3/10/23,7,Ally,Aplysia Bar,40,1,yes,
21,3/10/23,7,Ally,Aplysia Bar,54,6,,
21,3/10/23,7,Ally,Aplysia Bar,42,4,,
21,3/10/23,7,Ally,Aplysia Bar,17,1,,
21,3/10/23,7,Ally,Aplysia Bar,22,2,,
21,3/10/23,7,Ally,Aplysia Bar,30,4,,
21,3/10/23,7,Ally,Aplysia Bar,27,3,,
21,3/10/23,7,Ally,Aplysia Bar,24,3,,
21,3/10/23,7,Ally,Aplysia Bar,18,3,,
21,3/10/23,7,Ally,Aplysia Bar,20,2,,
21,3/10/23,7,Ally,Aplysia Bar,42,6,,
21,3/10/23,7,Ally,Aplysia Bar,34,3,,
21,3/10/23,7,Ally,Aplysia Bar,30,5,,
21,3/10/23,7,Ally,Aplysia Bar,48,8,,
23,3/10/23,7,Ally,Ruler,24,2,,
23,3/10/23,7,Ally,Ruler,106,12,,
23,3/10/23,7,Ally,Ruler,71,6,,
23,3/10/23,7,Ally,Ruler,41,4,,
23,3/10/23,7,Ally,Ruler,93,8,,
23,3/10/23,7,Ally,Ruler,77,9,,
23,3/10/23,7,Ally,Ruler,75,8,,
23,3/10/23,7,Ally,Ruler,27,2,,
23,3/10/23,7,Ally,Ruler,27,2,,
23,3/10/23,7,Ally,Ruler,21,1,,
23,3/10/23,7,Ally,Ruler,18,1,,
23,3/10/23,7,Ally,Ruler,18,1,,
23,3/10/23,7,Ally,Ruler,44,4,,
23,3/10/23,7,Ally,Ruler,33,3,,
23,3/10/23,7,Ally,Ruler,37,3,,
23,3/10/23,7,Ally,Ruler,56,3,,
23,3/10/23,7,Ally,Ruler,25,2,,
23,3/10/23,7,Ally,Ruler,32,2,,
23,3/10/23,7,Ally,Ruler,25,1,,
